Title,Description,Publish Time,Link
"<h1 class=""title-detail"">Định kỳ đánh giá đề án xây đường sắt tốc độ cao Bắc Nam </h1>",Ban chỉ đạo đề án đầu tư đường sắt tốc độ cao Bắc Nam họp định kỳ ba tháng một lần nhằm đánh giá tình hình thực hiện nhiệm vụ và xử lý vướng mắc.,"Thứ hai, 16/10/2023, 21:46 (GMT+7)",https://vnexpress.net/dinh-ky-danh-gia-de-an-xay-duong-sat-toc-do-cao-bac-nam-4665545.html
"<h1 class=""title-detail"">Đưa 1.850 hộ bị di dời để làm cao tốc vào khu tái định cư sân bay </h1>",Đồng Nai1.850 hộ bị giải toả làm cao tốc Biên Hoà - Vũng Tàu sẽ được bố trí ở Khu tái định cư Lộc An - Bình Sơn của dự án sân bay Long Thành.,"Thứ hai, 16/10/2023, 20:44 (GMT+7)",https://vnexpress.net/dua-1-850-ho-bi-di-doi-de-lam-cao-toc-vao-khu-tai-dinh-cu-san-bay-4665522.html
"<h1 class=""title-detail"">Bảo hiểm xã hội không muốn giữ quyền kiện doanh nghiệp nợ tiền </h1>","Trong khi tổ chức công đoàn, chuyên gia cho rằng dự thảo luật giao Bảo hiểm xã hội kiện doanh nghiệp để nợ tiền là phù hợp thì cơ quan này đề xuất bỏ.","Thứ hai, 16/10/2023, 19:31 (GMT+7)",https://vnexpress.net/bao-hiem-xa-hoi-khong-muon-giu-quyen-kien-doanh-nghiep-no-tien-4665526.html
"<h1 class=""title-detail"">Cao tốc Nghi Sơn - Diễn Châu nghi bị đổ hóa chất </h1>","Khoảng 2 km cao tốc qua Thanh Hóa xuất hiện vệt màu đen bất thường, mặt đường bị phân hủy khiến nhà thầu nghi ngờ ""có kẻ xấu đổ hóa chất phá hoại"".","Thứ hai, 16/10/2023, 17:10 (GMT+7)",https://vnexpress.net/cao-toc-nghi-son-dien-chau-nghi-bi-do-hoa-chat-4665459.html
"<h1 class=""title-detail"">Hà Nội dự kiến tăng giá vé xe buýt cao nhất 20.000 đồng </h1>","Sở Giao thông Vận tải Hà Nội đề xuất từ ngày 1/1/2024 sẽ tăng giá vé xe buýt thêm 1.000-11.000 đồng so với hiện nay, tùy thuộc cự ly, loại vé và diện ưu tiên.","Thứ hai, 16/10/2023, 16:32 (GMT+7)",https://vnexpress.net/ha-noi-du-kien-tang-gia-ve-xe-buyt-cao-nhat-20-000-dong-4665340.html
"<h1 class=""title-detail"">Lợi - hại cấm xe tải chạy làn 1 cao tốc </h1>","Cấm xe tải chạy làn 1 (bên trái sát dải phân cách) giúp tăng khả năng lưu thông trên cao tốc nhưng có thể gây ùn tắc các làn còn lại, tăng chi phí vận chuyển.","Thứ hai, 16/10/2023, 15:02 (GMT+7)",https://vnexpress.net/loi-hai-cam-xe-tai-chay-lan-1-cao-toc-4665080.html
"<h1 class=""title-detail"">Dự kiến đầu tư hơn 18.000 tỷ đồng xây cao tốc Tân Phú - Bảo Lộc </h1>","Cao tốc Tân Phú - Bảo Lộc dài 66 km, đi qua hai tỉnh Đồng Nai, Lâm Đồng, có tổng mức đầu tư dự kiến 18.120 tỷ đồng theo hình thức đối tác công tư (PPP).","Thứ hai, 16/10/2023, 13:48 (GMT+7)",https://vnexpress.net/du-kien-dau-tu-hon-18-000-ty-dong-xay-cao-toc-tan-phu-bao-loc-4665342.html
"<h1 class=""title-detail"">Cư dân khu đô thị xếp hàng lấy nước sinh hoạt</h1>","Hà NộiHàng trăm cư dân ở Khu đô thị Thanh Hà, xã Cự Khê, huyện Thanh Oai, xếp hàng chờ lấy nước sạch suốt đêm 15/10.","Thứ hai, 16/10/2023, 11:06 (GMT+7)",https://vnexpress.net/cu-dan-khu-do-thi-xep-hang-lay-nuoc-sinh-hoat-4665129.html
"<h1 class=""title-detail"">Phó chủ tịch Quốc hội: Tăng lương phải đi kèm với trách nhiệm cán bộ </h1>","Phó chủ tịch Quốc hội Nguyễn Khắc Định cho rằng cải cách chính sách tiền lương phải gắn với nâng cao chất lượng, trách nhiệm của đội ngũ cán bộ, công chức.","Thứ hai, 16/10/2023, 10:48 (GMT+7)",https://vnexpress.net/pho-chu-tich-quoc-hoi-tang-luong-phai-di-kem-voi-trach-nhiem-can-bo-4665244.html
"<h1 class=""title-detail"">Cháy kho nhựa gần 1.000 m2 </h1>","Quảng NamLửa bùng lên từ kho nhựa rộng gần 1.000 m2 của doanh nghiệp ở TP Tam Kỳ khiến ba xe tải và toàn bộ hàng hóa bị thiêu rụi, sáng 16/10.","Thứ hai, 16/10/2023, 09:59 (GMT+7)",https://vnexpress.net/chay-kho-nhua-gan-1-000-m2-4665236.html
"<h1 class=""title-detail"">Bên trong hầm địa chất phức tạp nhất cao tốc Bắc Nam</h1>","Nghệ AnThuộc dự án Diễn Châu - Bãi Vọt, hầm Thần Vũ dài hơn một km, vốn đầu tư 1.350 tỷ đồng, là hầm xuyên núi có địa chất phức tạp nhất cao tốc Bắc Nam.","Thứ hai, 16/10/2023, 07:53 (GMT+7)",https://vnexpress.net/ben-trong-ham-dia-chat-phuc-tap-nhat-cao-toc-bac-nam-4665088.html
"<h1 class=""title-detail"">Chi ngân sách thay đổi thế nào khi sửa Luật Bảo hiểm xã hội? </h1>","Nếu nâng trợ cấp từ 360.000 lên 500.000 đồng mỗi tháng và giảm độ tuổi thụ hưởng từ 80 xuống 75, ngân sách dự kiến chi 30.000 tỷ đồng giai đoạn 2025-2030.","Thứ hai, 16/10/2023, 00:28 (GMT+7)",https://vnexpress.net/chi-ngan-sach-thay-doi-the-nao-khi-sua-luat-bao-hiem-xa-hoi-4665126.html
"<h1 class=""title-detail"">Mưa ngập cuốn trôi ôtô ở Bình Dương </h1>","Trận mưa lớn kéo dài khiến một số đường ở TP Thủ Dầu Một, TP Dĩ An ngập hơn một mét, cuốn trôi ôtô, ảnh hưởng người dân, tối 15/10.","Chủ nhật, 15/10/2023, 22:39 (GMT+7)",https://vnexpress.net/mua-ngap-cuon-troi-oto-o-binh-duong-4665117.html
"<h1 class=""title-detail"">Ôtô lao vào nhóm phụ huynh đón con, một người chết </h1>","Bình DươngNgười đàn ông có dấu hiệu say xỉn lái xe 4 chỗ lao lên vỉa hè ở TP Thủ Dầu Một, tông nhiều phụ huynh chờ con học thêm, một nạn nhân tử vong, chiều 15/10.","Chủ nhật, 15/10/2023, 20:37 (GMT+7)",https://vnexpress.net/oto-lao-vao-nhom-phu-huynh-don-con-mot-nguoi-chet-4665102.html
"<h1 class=""title-detail"">Người dân Tam Kỳ dọn đồ tránh lũ</h1>","Quảng NamMưa lớn khiến nước tràn vào các khu dân cư thấp trũng ở TP Tam Kỳ, người dân thu dọn tài sản, gia cầm đưa lên cao tránh ngập.","Chủ nhật, 15/10/2023, 17:02 (GMT+7)",https://vnexpress.net/nguoi-dan-tam-ky-don-do-tranh-lu-4665081.html
"<h1 class=""title-detail"">Xử phạt hơn 140 triệu đồng sau sự cố sập sàn bêtông trung tâm văn hóa </h1>","Quảng BìnhThanh tra Sở Xây dựng phạt hai đơn vị và cá nhân hơn 140 triệu đồng liên quan sự cố sập sàn bêtông Trung tâm Văn hóa huyện Tuyên Hóa, ngày 15/10.","Chủ nhật, 15/10/2023, 16:30 (GMT+7)",https://vnexpress.net/xu-phat-hon-140-trieu-dong-sau-su-co-sap-san-betong-trung-tam-van-hoa-4665068.html
"<h1 class=""title-detail"">Bên trong xưởng bảo dưỡng máy bay ở Nội Bài</h1>","Hà NộiTrong nhà xưởng rộng 12.000 m2 ở sân bay Nội Bài, khoảng 300 kỹ sư, kỹ thuật viên... tất bật sửa chữa, bảo dưỡng các loại máy bay để đảm bảo việc khai thác.","Chủ nhật, 15/10/2023, 14:00 (GMT+7)",https://vnexpress.net/ben-trong-xuong-bao-duong-may-bay-o-noi-bai-4663914.html
"<h1 class=""title-detail"">Lật thuyền đánh cá, một người mất tích </h1>","Quảng NamMưa lớn, thuyền đánh cá của vợ chồng ông Võ Văn Lĩnh ở huyện Thăng Bình bị lật trên sông Trường Giang, người vợ được cứu, người chồng mất tích.","Chủ nhật, 15/10/2023, 13:51 (GMT+7)",https://vnexpress.net/lat-thuyen-danh-ca-mot-nguoi-mat-tich-4665051.html
"<h1 class=""title-detail"">Tổng bí thư Nguyễn Phú Trọng làm Trưởng Tiểu ban nhân sự đại hội 14 </h1>",Tổng bí thư Nguyễn Phú Trọng làm Trưởng Tiểu ban Văn kiện và Tiểu ban Nhân sự chuẩn bị đại hội lần thứ 14 Ban Chấp hành Trung ương Đảng.,"Chủ nhật, 15/10/2023, 13:24 (GMT+7)",https://vnexpress.net/tong-bi-thu-nguyen-phu-trong-lam-truong-tieu-ban-nhan-su-dai-hoi-14-4665045.html
"<h1 class=""title-detail"">Nông dân Đà Nẵng mót rau trong lũ </h1>","Làng rau sạch La Hường, quận Cẩm Lệ, bị nước lũ tàn phá, nông dân đội mưa ra đồng mong vớt vát từng bó rau mang bán.","Chủ nhật, 15/10/2023, 13:11 (GMT+7)",https://vnexpress.net/nong-dan-da-nang-mot-rau-trong-lu-4665039.html
"<h1 class=""title-detail"">Miền Trung mưa kéo dài </h1>","Do xuất hiện vùng áp thấp ở Biển Đông, mưa ở miền Trung sẽ kéo dài nhiều ngày tới, mở rộng ra Bắc Trung Bộ, Kon Tum, Gia Lai, Quảng Ngãi, Bình Định.","Chủ nhật, 15/10/2023, 10:21 (GMT+7)",https://vnexpress.net/mien-trung-mua-keo-dai-4664982.html
"<h1 class=""title-detail"">TP HCM tính thí điểm cán bộ làm việc tại nhà </h1>",Cán bộ thành phố công tác ở các vị trí không tiếp xúc người dân có thể đăng ký làm việc tại nhà nếu đáp ứng yêu cầu công tác.,"Chủ nhật, 15/10/2023, 09:28 (GMT+7)",https://vnexpress.net/tp-hcm-tinh-thi-diem-can-bo-lam-viec-tai-nha-4664956.html
"<h1 class=""title-detail"">Người Khmer miền Tây tranh tài ở hội đua bò</h1>","An GiangHội đua bò thường niên của đồng bào Khmer vùng Bảy Núi diễn ra sôi nổi, thu hút 25.000 khán giả, người giành giải nhất được xe máy, 30 triệu đồng.","Chủ nhật, 15/10/2023, 08:00 (GMT+7)",https://vnexpress.net/nguoi-khmer-mien-tay-tranh-tai-o-hoi-dua-bo-4664901.html
"<h1 class=""title-detail"">Khởi công cầu Đại Ngãi 8.000 tỷ đồng qua sông Hậu </h1>","Cầu Đại Ngãi nằm trên quốc lộ 60, dài 15,1 km, bắc qua sông Hậu, giúp rút ngắn 80 km từ Sóc Trăng, Bạc Liêu, Cà Mau về TP HCM được khởi công sáng 15/10.","Chủ nhật, 15/10/2023, 06:30 (GMT+7)",https://vnexpress.net/khoi-cong-cau-dai-ngai-8-000-ty-dong-qua-song-hau-4664928.html
"<h1 class=""title-detail"">Mở rộng cầu xóa 'nút thắt cổ chai' cửa ngõ phía đông TP HCM </h1>","Cầu Ông Dầu trên quốc lộ 13, TP Thủ Đức, được xây thêm một nhánh rộng 2,5 m, giúp xóa ""nút thắt cổ chai"" thường xuyên kẹt xe ở cửa ngõ phía đông thành phố.","Chủ nhật, 15/10/2023, 05:00 (GMT+7)",https://vnexpress.net/mo-rong-cau-xoa-nut-that-co-chai-cua-ngo-phia-dong-tp-hcm-4664843.html
"<h1 class=""title-detail"">Lễ Sene Dolta của người Khmer ở Sài Gòn</h1>","Ngoài cúng vong hồn, người Khmer ở TP HCM còn cúng dường cho sư đi khất thực quanh chùa Chantarangsay, để cầu bình an trong lễ Sene Dolta, ngày 14/10.","Chủ nhật, 15/10/2023, 00:00 (GMT+7)",https://vnexpress.net/le-sene-dolta-cua-nguoi-khmer-o-sai-gon-4664861.html
"<h1 class=""title-detail"">Nuôi lươn 'sạch', thu lãi 600 triệu mỗi năm </h1>","Cần ThơLập trại nuôi đàn lươn 100.000 con bằng công nghệ tuần hoàn nước, Nguyễn Thành Tân, 32 tuổi thu hoạch 15-20 tấn mỗi năm, lãi 500-600 triệu đồng.","Chủ nhật, 15/10/2023, 00:00 (GMT+7)",https://vnexpress.net/nuoi-luon-sach-thu-lai-600-trieu-moi-nam-4664572.html
"<h1 class=""title-detail"">Cuộc sống đảo lộn vì mưa lũ </h1>","Đà NẵngVừa chợp mắt sau đêm trắng canh mưa, ông Trần Viết Mật giật mình tỉnh dậy khi những hòn đá theo dòng nước lũ đập lạch cạch vào cánh cổng sắt.","Thứ bảy, 14/10/2023, 21:08 (GMT+7)",https://vnexpress.net/cuoc-song-dao-lon-vi-mua-lu-4664859.html
